"user_genome","Product.Prediction","BiG.SCAPE.class"
"SRR6184671rbin.5","NRPS.T1PKS","PKS-NRP_Hybrids"
"zpcx_18bin.15","NRPS.NRPS-like","NRPS"
"S333bin.3","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR1164896rbin.10","transAT-PKS","PKSother"
"SRR1164896rbin.10","NRPS.betalactone.transAT-PKS","Others"
"SRR6958552rbin.41","NRPS.arylpolyene.transAT-PKS-like","Others"
"SRR6185512rbin.76","NRPS.T1PKS.nucleoside","Others"
"SRR8543488rbin.9","NRPS","NRPS"
"SRR7976294rbin.1","NRPS.RiPP-like","Others"
"SRR12277192bin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR10954988bin.6","ladderane.T2PKS","Others"
"S7rebin.4","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR11678609bin.15","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR12347921bin.3","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR11678221bin.4","NRPS.terpene","Others"
"SRR10998593bin.1","T1PKS.T2PKS","PKSother"
"SRR11679235bin.13","T1PKS","PKSI"
"S257bin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR8554898rbin.81","NRPS-like.T2PKS.T3PKS","PKS-NRP_Hybrids"
"SRR7101595rbin.24","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR6185503rbin.18","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"D4rbin.1","NRPS","NRPS"
"SRR5260221rbin.8","NRPS","NRPS"
"SRR6474940rbin.8","arylpolyene","Others"
"SRR5215472rbin.12","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR5437868rbin.4","NRPS","NRPS"
"SRR5582436rbin.54","ladderane.NRPS.T1PKS","Others"
"S257bin.1","PKS-like.T3PKS.transAT-PKS.NRPS.NRPS-like","PKS-NRP_Hybrids"
"SRR6788486rbin.10","NRPS","NRPS"
"SRR9656207rbin.6","NRPS.RiPP-like","Others"
"SRR11836440bin.67","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR7026573rbin.1","arylpolyene.resorcinol","Others"
"SRR6185369rbin.37","NRPS","NRPS"
"SRR9650533rbin.17","T1PKS.terpene.PKS-like","Others"
"neis65rebin.4","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12350505bin.3","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR5855438rbin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR7629281rbin.16","NRPS","NRPS"
"SRR7011991rbin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR8881009rbin.65","NRPS-like.T3PKS","PKS-NRP_Hybrids"
"SRR8879135rbin.51","NRPS.NRPS-like","NRPS"
"S62rbin.25","NRPS.NRPS-like.T3PKS","PKS-NRP_Hybrids"
"S234bin.1","NRPS.betalactone","Others"
"SRR11794808bin.13","arylpolyene.T1PKS.hglE-KS","Others"
"SRR5823601rbin.13","NRPS","NRPS"
"SRR5855434rbin.4","NRPS.NRPS-like.T1PKS.betalactone","Others"
"SRR7457706rbin.4","NRPS.T1PKS","PKS-NRP_Hybrids"
"S279bin.4","NRPS.NRPS-like.RiPP-like.T1PKS","Others"
"SRR12951525bin.5","NRPS.RRE-containing","Others"
"S257bin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"S252bin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR7882663rbin.2","transAT-PKS","PKSother"
"SRR11031422bin.7","NRPS.arylpolyene","Others"
"S326bin.6","NRPS","NRPS"
"SRR11449187bin.43","NRPS.lanthipeptide-class-i","Others"
"SRR5855434rbin.7","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR5209023rbin.2","NRPS.ranthipeptide.resorcinol","Others"
"S262bin.14","cyclic-lactone-autoinducer.PKS-like.T3PKS.transAT-PKS","Others"
"S384bin.2","PKS-like.T2PKS.RRE-containing","Others"
"S313bin.17","NRPS.transAT-PKS-like","PKS-NRP_Hybrids"
"SRR12347921bin.5","NRPS.T1PKS","PKS-NRP_Hybrids"
"S7rebin.4","NRPS.T1PKS.terpene","Others"
"S143bin.28","T3PKS.hglE-KS","PKSother"
"SRR6184671rbin.5","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR3402030rbin.3","NRPS","NRPS"
"SRR11467474bin.7","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR6048907rbin.5","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR6185369rbin.37","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR5195145rbin.11","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR12377071bin.12","T1PKS","PKSI"
"SRR5195140rbin.10","NRPS.RiPP-like.T1PKS","Others"
"SRR7967864rbin.5","NRPS.NRPS-like.thioamitides.T1PKS","Others"
"S7rebin.4","NRPS.terpene","Others"
"SRR12377071bin.12","T1PKS","PKSI"
"SRR11678609bin.15","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR13207170bin.10","NRPS","NRPS"
"SRR3402030rbin.4","transAT-PKS-like","PKSother"
"SRR12377066bin.2","NRPS.NRPS-like","NRPS"
"SRR12277192bin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR10376087bin.20","NRPS.NRPS-like.RiPP-like","Others"
"SRR6266511rbin.20","NRPS.NRPS-like.PKS-like.transAT-PKS","PKS-NRP_Hybrids"
"SRR5579875rbin.4","ladderane.T2PKS","Others"
"SRR8879137rbin.48","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR5855434rbin.4","terpene.T2PKS","Others"
"SRR6202521rbin.4","NRPS","NRPS"
"S326bin.6","other","Others"
"SRR13115019bin.78","PKS-like.T1PKS.oligosaccharide.T2PKS","Others"
"S408bin.9","NRPS.T1PKS","PKS-NRP_Hybrids"
"S313bin.17","NRPS.RiPP-like.ranthipeptide.transAT-PKS-like","Others"
"S252bin.1","thiopeptide.NRPS-like.thioamitides","Others"
"SRR5581483rbin.99","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR5855434rbin.11","NRPS.acyl_amino_acids","Others"
"SRR7976294rbin.1","arylpolyene.resorcinol","Others"
"SRR6202453rbin.5","T1PKS","PKSI"
"S56rbin.10","NRPS.T1PKS.T3PKS.transAT-PKS","PKS-NRP_Hybrids"
"SRR7882663rbin.2","NRPS.transAT-PKS-like","PKS-NRP_Hybrids"
"SRR7026476rbin.10","siderophore.T2PKS","Others"
"SRR8558721rbin.7","T2PKS","PKSother"
"SRR5579885rbin.44","T2PKS","PKSother"
"SRR10695388bin.7","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR10954988bin.6","T2PKS","PKSother"
"S313bin.2","T1PKS","PKSI"
"S7rebin.4","T2PKS","PKSother"
"SRR13207077bin.5","T1PKS.NAPAA","PKS-NRP_Hybrids"
"SRR11836029bin.6","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR6476469rbin.1","T2PKS","PKSother"
"SRR8558721rbin.7","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"S400bin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12659394bin.26","NRPS.T1PKS","PKS-NRP_Hybrids"
"S313bin.17","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR10954984bin.7","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR6185369rbin.37","NRPS.T1PKS","PKS-NRP_Hybrids"
"S7rebin.4","NRPS","NRPS"
"S313bin.2","thioamide-NRP.NRPS","NRPS"
"SRR12377071bin.12","ladderane.NRPS.arylpolyene","Others"
"SRR9650533rbin.18","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12087333bin.1","arylpolyene.resorcinol","Others"
"SRR7976149rbin.5","arylpolyene.resorcinol","Others"
"SRR5690625rbin.25","arylpolyene.T1PKS","Others"
"SRR5582390rbin.8","NRPS-like.T1PKS","PKS-NRP_Hybrids"
"S354bin.2","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR9009774bin.337","T2PKS","PKSother"
"SRR1955040rbin.7","NRPS","NRPS"
"SRR5579885rbin.22","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"S20rbin.3","T2PKS","PKSother"
"SRR6185503rbin.4","arylpolyene.resorcinol","Others"
"SRR6184671rbin.5","NRPS","NRPS"
"S5rebin.28","oligosaccharide.hglE-KS","Others"
"SRR5582390rbin.8","ladderane.arylpolyene.T1PKS","Others"
"SRR12377071bin.12","T1PKS","PKSI"
"zpcx_11bin.6","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR11719877bin.7","T1PKS.transAT-PKS","PKSother"
"S268bin.8","NRPS.NRPS-like","NRPS"
"SRR6185369rbin.37","NRPS","NRPS"
"S333bin.8","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR9009774bin.211","NRPS.T1PKS.terpene","Others"
"SRR7011991rbin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR8931223rbin.5","arylpolyene.resorcinol","Others"
"SRR10954988bin.6","NRPS.phosphonate","Others"
"SRR6476469rbin.1","NRPS.PKS-like","PKS-NRP_Hybrids"
"S329bin.20","NRPS.NRPS-like","NRPS"
"SRR10998592bin.21","NRPS","NRPS"
"S257bin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR5579884rbin.53","NRPS-like.T3PKS","PKS-NRP_Hybrids"
"SRR7967864rbin.5","NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR6185369rbin.37","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR10376087bin.67","arylpolyene.resorcinol.T3PKS","Others"
"S276bin.5","NRPS.T1PKS","PKS-NRP_Hybrids"
"S386bin.8","NRPS","NRPS"
"SRR6184671rbin.36","NRPS.T1PKS","PKS-NRP_Hybrids"
"S313bin.17","NRPS.transAT-PKS-like","PKS-NRP_Hybrids"
"SRR5195135rbin.12","T3PKS.hglE-KS","PKSother"
"SRR1926122rbin.5","acyl_amino_acids","Others"
"S326bin.10","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR9650533rbin.18","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR5581483rbin.160","indole.T1PKS","Others"
"zpcx_11bin.6","NRPS.T1PKS.phosphonate","Others"
"SRR9009774bin.349","NRPS","NRPS"
"S143bin.24","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12350505bin.4","NRPS.RiPP-like.T1PKS","Others"
"SRR3990174rbin.88","arylpolyene.resorcinol","Others"
"zpcx_11bin.6","NRPS.T1PKS","PKS-NRP_Hybrids"
"S264bin.67","PKS-like.T1PKS.T2PKS","PKSother"
"SRR10998593bin.1","NRPS.NRPS-like","NRPS"
"SRR5581483rbin.99","NRPS.transAT-PKS","PKS-NRP_Hybrids"
"S386bin.8","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR5582436rbin.37","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR6474848rbin.17","arylpolyene.resorcinol","Others"
"SRR5882724rbin.21","NRPS.RiPP-like.T1PKS","Others"
"SRR5582436rbin.37","NRPS.lanthipeptide-class-iv","Others"
"S313bin.2","NRPS.NRPS-like.T1PKS.T3PKS","PKS-NRP_Hybrids"
"SRR10954984bin.7","NRPS","NRPS"
"SRR5581483rbin.160","PKS-like.T1PKS.T2PKS","PKSother"
"SRR7098092rbin.15","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR10376087bin.20","NRPS.T1PKS.T3PKS","PKS-NRP_Hybrids"
"SRR6185512rbin.76","T2PKS.LAP.betalactone.PKS-like","Others"
"SRR10360620bin.4","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR13115019bin.68","NRPS.arylpolyene","Others"
"SRR5271165rbin.2","NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR12349874bin.10","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR5195133rbin.1","NRPS","NRPS"
"SRR7011991rbin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR1586267rbin.8","NRPS.lassopeptide.RRE-containing","Others"
"S276bin.5","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR5582436rbin.37","PKS-like.T2PKS","PKSother"
"SRR8663215rbin.2","arylpolyene.resorcinol","Others"
"SRR7091524rbin.1","arylpolyene.resorcinol","Others"
"zpcx_18bin.20","NRPS.RiPP-like.T1PKS","Others"
"SRR11613357bin.90","NRPS","NRPS"
"SRR5195132rbin.2","NRPS","NRPS"
"SRR7976076rbin.9","NRPS.NRPS-like","NRPS"
"SRR5579871rbin.31","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR8544467rbin.35","NRPS.T1PKS.transAT-PKS-like","PKS-NRP_Hybrids"
"neis65rebin.4","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR9009774bin.126","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12349874bin.7","NRPS-like.lassopeptide","Others"
"SRR12170512bin.4","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"zpcx_11bin.6","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12347922bin.2","NRPS.T1PKS","PKS-NRP_Hybrids"
"S326bin.6","NRPS.lanthipeptide-class-iv","Others"
"S264bin.67","NRPS","NRPS"
"S313bin.2","ladderane.NRPS","Others"
"SRR2059973rbin.12","NRPS","NRPS"
"SRR6202453rbin.3","NRPS.NRPS-like","NRPS"
"SRR7091522rbin.1","transAT-PKS","PKSother"
"SRR6266508rbin.43","arylpolyene.T1PKS","Others"
"S406bin.21","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR11031422bin.10","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR3984957rbin.3","NRPS.T1PKS","PKS-NRP_Hybrids"
"zpcx_11bin.6","NRPS.T1PKS","PKS-NRP_Hybrids"
"zpcx_11bin.6","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR10948380bin.1","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"S354bin.2","NRPS","NRPS"
"SRR7976149rbin.16","acyl_amino_acids","Others"
"SRR12349874bin.10","NRPS.terpene","Others"
"SRR10954987bin.1","T2PKS","PKSother"
"SRR5437868rbin.4","NRPS.ranthipeptide.T1PKS","Others"
"S261bin.15","terpene.T3PKS","Others"
"SRR5271166rbin.15","NRPS-like.T3PKS","PKS-NRP_Hybrids"
"SRR12692973bin.2","NRPS.T1PKS","PKS-NRP_Hybrids"
"DRR101456rebin.3","arylpolyene.resorcinol","Others"
"SRR6184671rbin.5","NRPS-like.T1PKS","PKS-NRP_Hybrids"
"S315bin.2","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"S7rebin.4","NRPS","NRPS"
"SRR11794808bin.7","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12377071bin.12","T1PKS","PKSI"
"SRR1924237rbin.5","arylpolyene.resorcinol.NAPAA","Others"
"SRR10360620bin.4","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR7011991rbin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR7100769rbin.20","NRPS.transAT-PKS","PKS-NRP_Hybrids"
"SRR6184671rbin.5","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR8439262rbin.30","T1PKS","PKSI"
"SRR7101595rbin.20","T2PKS","PKSother"
"SRR8554483rbin.94","NRPS.NRPS-like","NRPS"
"SRR8500450rbin.3","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR6267142rbin.11","NRPS","NRPS"
"S264bin.67","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR3401962rbin.4","NRPS.RRE-containing","Others"
"S326bin.10","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR11285378bin.3","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR5579885rbin.68","NRPS-like.T3PKS","PKS-NRP_Hybrids"
"SRR5582436rbin.37","NRPS","NRPS"
"SRR6476469rbin.1","NRPS","NRPS"
"SRR11678566bin.28","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR5916354rbin.5","T1PKS.T3PKS.hglE-KS","PKSother"
"SRR7096238rbin.37","T1PKS","PKSI"
"R23rbin.2","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR11836412bin.12","T1PKS","PKSI"
"S386bin.6","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR7141967rbin.19","NRPS","NRPS"
"SRR5579884rbin.23","NRPS.NRPS-like","NRPS"
"SRR6185512rbin.36","NRPS.T1PKS","PKS-NRP_Hybrids"
"S261bin.9","T2PKS","PKSother"
"S277bin.5","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12170513bin.21","NRPS","NRPS"
"SRR3990169rbin.163","acyl_amino_acids","Others"
"SRR7011991rbin.3","NRPS.T1PKS.terpene","Others"
"SRR10998592bin.27","NRPS","NRPS"
"SRR6476469rbin.1","NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR6476469rbin.1","T2PKS","PKSother"
"SRR12773049bin.3","acyl_amino_acids","Others"
"S193bin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR6478609rbin.14","NRPS.RiPP-like.T1PKS","Others"
"SRR11719873bin.4","arylpolyene.resorcinol","Others"
"S400bin.1","acyl_amino_acids","Others"
"zpcx_11bin.6","NRPS","NRPS"
"SRR10954984bin.2","NRPS","NRPS"
"S335bin.9","acyl_amino_acids","Others"
"SRR12767728bin.1","acyl_amino_acids","Others"
"SRR8931236rbin.23","NRPS.thioamitides.T1PKS","Others"
"SRR6474979rbin.7","acyl_amino_acids","Others"
"SRR12347921bin.8","acyl_amino_acids","Others"
"SRR11449180bin.2","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR7141966rbin.14","acyl_amino_acids.betalactone","Others"
"SRR7629279rbin.13","acyl_amino_acids","Others"
"SRR13207170bin.13","acyl_amino_acids","Others"
"SRR1586317rbin.11","acyl_amino_acids","Others"
"SRR1586317rbin.5","acyl_amino_acids","Others"
"SRR5877196rbin.22","acyl_amino_acids","Others"
"SRR12349874bin.12","acyl_amino_acids","Others"
"S7rebin.4","NRPS","NRPS"
"S284bin.2","NRPS","NRPS"
"SRR12767728bin.4","acyl_amino_acids","Others"
"SRR10498315bin.6","acyl_amino_acids","Others"
"S264bin.67","NRPS","NRPS"
"SRR10998592bin.29","NRPS","NRPS"
"SRR5195144rbin.16","thiopeptide.NRPS-like.proteusin.LAP.lanthipeptide-class-ii","Others"
"SRR10998592bin.2","T2PKS","PKSother"
"SRR7003766rbin.13","NRPS","NRPS"
"SRR3401989rbin.1","T2PKS","PKSother"
"SRR8439262rbin.44","NRPS-like.T3PKS","PKS-NRP_Hybrids"
"SRR6958472rbin.11","NRPS.PKS-like.transAT-PKS","PKS-NRP_Hybrids"
"SRR11678609bin.21","T1PKS.butyrolactone","Others"
"SRR8500450rbin.3","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR11743025bin.57","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR9009774bin.209","NRPS","NRPS"
"S32rbin.6","NRPS","NRPS"
"zpcx_11bin.6","NRPS.T1PKS","PKS-NRP_Hybrids"
"S313bin.2","T2PKS","PKSother"
"SRR9694539rbin.7","arylpolyene.RRE-containing","Others"
"SRR11051938bin.5","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR10954981bin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR2954705rbin.6","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR5437868rbin.4","NRPS.RiPP-like.thioamitides.thiopeptide","Others"
"SRR6476469rbin.1","T1PKS.T3PKS","PKSother"
"S75rbin.7","NRPS","NRPS"
"SRR6202521rbin.9","NRPS.NRPS-like","NRPS"
"S276bin.5","T1PKS","PKSI"
"SRR7091524rbin.15","acyl_amino_acids.hserlactone","Others"
"S313bin.17","NRPS","NRPS"
"SRR3402028rbin.6","terpene.T2PKS","Others"
"S135bin.16","arylpolyene.resorcinol","Others"
"R97rbin.11","arylpolyene.terpene","Others"
"SRR7003765rbin.12","acyl_amino_acids","Others"
"SRR6184671rbin.36","NRPS","NRPS"
"SRR12347921bin.5","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR10955009bin.4","NRPS.PKS-like.transAT-PKS","PKS-NRP_Hybrids"
"SRR5582436rbin.37","NRPS.RRE-containing","Others"
"SRR5855420rbin.13","T2PKS.RRE-containing","Others"
"S354bin.2","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR8676458rbin.3","NRPS","NRPS"
"SRR5855432rbin.3","NRPS","NRPS"
"SRR3985625rbin.9","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR6266850rbin.8","NRPS","NRPS"
"SRR11614242bin.13","NRPS.NRPS-like","NRPS"
"SRR7882663rbin.15","NRPS","NRPS"
"SRR9694539rbin.10","arylpolyene.hserlactone","Others"
"SRR9009774bin.81","NRPS-like.T3PKS","PKS-NRP_Hybrids"
"SRR6476469rbin.1","T1PKS","PKSI"
"SRR11467474bin.6","T1PKS","PKSI"
"SRR5855437rbin.1","NRPS","NRPS"
"SRR7976149rbin.2","NRPS","NRPS"
"SRR11719866bin.1","T1PKS.prodigiosin.phosphonate","Others"
"SRR5882724rbin.21","NRPS","NRPS"
"SRR12377071bin.12","NRPS-like.betalactone.phosphonate","Others"
"SRR3452784rbin.2","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"S389bin.2","arylpolyene.resorcinol","Others"
"ERR1051325rbin.23","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR11836438bin.2","T2PKS","PKSother"
"SRR5195144rbin.9","NRPS","NRPS"
"SRR12676706bin.21","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR8931236rbin.4","arylpolyene","Others"
"SRR8879134rbin.50","NRPS","NRPS"
"S276bin.5","NRPS.T1PKS","PKS-NRP_Hybrids"
"S25rbin.1","NRPS","NRPS"
"SRR10498315bin.6","thioamide-NRP","NRPS"
"SRR6266511rbin.20","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR7976076rbin.9","NRPS.ranthipeptide","Others"
"SRR12284406bin.15","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR7976237rbin.37","arylpolyene.terpene","Others"
"SRR11742962bin.18","NRPS","NRPS"
"SRR6185312rbin.29","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR8554898rbin.81","thiopeptide.NRPS.LAP","Others"
