Accession	Sample Name	SPUID	Organism	Tax ID	
SAMN54531545	1_NSC26_30_35	1_NSC26_30_35	soil metagenome	410658	
SAMN54531546	1_NSC26_35_40	1_NSC26_35_40	soil metagenome	410658	
SAMN54531547	1_NSC27_0_5	1_NSC27_0_5	soil metagenome	410658	
SAMN54531548	1_NSC27_30_35	1_NSC27_30_35	soil metagenome	410658	
SAMN54531549	1_NSC27_45_50	1_NSC27_45_50	soil metagenome	410658	
SAMN54531550	1_NSC28_5_10	1_NSC28_5_10	soil metagenome	410658	
SAMN54531551	1_NSC28_25_30	1_NSC28_25_30	soil metagenome	410658	
SAMN54531552	1_NSC28_30_35	1_NSC28_30_35	soil metagenome	410658	
SAMN54531553	1_NSC29_5_10	1_NSC29_5_10	soil metagenome	410658	
SAMN54531554	1_NSC29_20_25	1_NSC29_20_25	soil metagenome	410658	
SAMN54531555	1_NSC29_45_50	1_NSC29_45_50	soil metagenome	410658	
SAMN54531556	1_NSC30_0_5	1_NSC30_0_5	soil metagenome	410658	
SAMN54531557	1_NSC30_15_20	1_NSC30_15_20	soil metagenome	410658	
SAMN54531558	1_NSC30_45_50	1_NSC30_45_50	soil metagenome	410658	
SAMN54531559	1_NSC31_20_25	1_NSC31_20_25	soil metagenome	410658	
SAMN54531560	1_NSC31_25_30	1_NSC31_25_30	soil metagenome	410658	
SAMN54531561	1_NSC31_30_35	1_NSC31_30_35	soil metagenome	410658	
SAMN54531562	1_NSC31_40_45	1_NSC31_40_45	soil metagenome	410658	
SAMN54531563	1_NSC32_0_5	1_NSC32_0_5	soil metagenome	410658	
SAMN54531564	1_NSC32_35_40	1_NSC32_35_40	soil metagenome	410658	
SAMN54531565	1_NSC32_40_45	1_NSC32_40_45	soil metagenome	410658	
SAMN54531566	1_NSC32_45_50	1_NSC32_45_50	soil metagenome	410658	
SAMN54531567	1_NSC33_0_5	1_NSC33_0_5	soil metagenome	410658	
SAMN54531568	1_NSC33_5_10	1_NSC33_5_10	soil metagenome	410658	
SAMN54531569	1_NSC33_40_45	1_NSC33_40_45	soil metagenome	410658	
SAMN54531570	1_NSC34_25_30	1_NSC34_25_30	soil metagenome	410658	
SAMN54531571	1_NSC34_30_35	1_NSC34_30_35	soil metagenome	410658	
SAMN54531572	1_NSC34_40_45	1_NSC34_40_45	soil metagenome	410658	
SAMN54531573	1_NSC34_45_50	1_NSC34_45_50	soil metagenome	410658	
SAMN54531574	1_NSC35_15_20	1_NSC35_15_20	soil metagenome	410658	
SAMN54531575	1_NSC35_25_30	1_NSC35_25_30	soil metagenome	410658	
SAMN54531576	1_NSC35_40_45	1_NSC35_40_45	soil metagenome	410658	
SAMN54531577	1_NSC36_0_5	1_NSC36_0_5	soil metagenome	410658	
SAMN54531578	1_NSC36_10_15	1_NSC36_10_15	soil metagenome	410658	
SAMN54531579	1_NSC36_40_45	1_NSC36_40_45	soil metagenome	410658	
SAMN54531580	1_NSC37_15_20	1_NSC37_15_20	soil metagenome	410658	
SAMN54531581	1_NSC37_30_35	1_NSC37_30_35	soil metagenome	410658	
SAMN54531582	1_NSC37_35_40	1_NSC37_35_40	soil metagenome	410658	
SAMN54531583	1_NSC38_10_15	1_NSC38_10_15	soil metagenome	410658	
SAMN54531584	1_NSC38_30_35	1_NSC38_30_35	soil metagenome	410658	
SAMN54531585	1_NSC38_45_50	1_NSC38_45_50	soil metagenome	410658	
SAMN54531586	1_NSC39_0_5	1_NSC39_0_5	soil metagenome	410658	
SAMN54531587	1_NSC39_15_20	1_NSC39_15_20	soil metagenome	410658	
SAMN54531588	1_NSC39_35_40	1_NSC39_35_40	soil metagenome	410658	
SAMN54531589	1_NSC40_0_5	1_NSC40_0_5	soil metagenome	410658	
SAMN54531590	1_NSC40_15_20	1_NSC40_15_20	soil metagenome	410658	
SAMN54531591	1_NSC40_25_30	1_NSC40_25_30	soil metagenome	410658	
SAMN54531592	1_NSC41_0_5	1_NSC41_0_5	soil metagenome	410658	
SAMN54531593	1_NSC41_15_20	1_NSC41_15_20	soil metagenome	410658	
SAMN54531594	1_NSC41_25_30	1_NSC41_25_30	soil metagenome	410658	
SAMN54531595	1_NSC42_0_5	1_NSC42_0_5	soil metagenome	410658	
SAMN54531596	1_NSC42_20_25	1_NSC42_20_25	soil metagenome	410658	
SAMN54531597	1_NSC42_30_35	1_NSC42_30_35	soil metagenome	410658	
SAMN54531598	1_NSC42_40_45	1_NSC42_40_45	soil metagenome	410658	
SAMN54531599	1_NSC43_0_5	1_NSC43_0_5	soil metagenome	410658	
SAMN54531600	1_NSC43_20_25	1_NSC43_20_25	soil metagenome	410658	
SAMN54531601	1_NSC43_25_30	1_NSC43_25_30	soil metagenome	410658	
SAMN54531602	1_NSC43_35_40	1_NSC43_35_40	soil metagenome	410658	
SAMN54531603	1_NSC44_40_45	1_NSC44_40_45	soil metagenome	410658	
SAMN54531604	1_NSC44_45_50	1_NSC44_45_50	soil metagenome	410658	
SAMN54531605	1_NSC45_5_10	1_NSC45_5_10	soil metagenome	410658	
SAMN54531606	1_NSC45_10_15	1_NSC45_10_15	soil metagenome	410658	
SAMN54531607	1_NSC45_35_40	1_NSC45_35_40	soil metagenome	410658	
SAMN54531608	1_NSC46_10_15	1_NSC46_10_15	soil metagenome	410658	
SAMN54531609	1_NSC46_20_25	1_NSC46_20_25	soil metagenome	410658	
SAMN54531610	1_NSC46_30_35	1_NSC46_30_35	soil metagenome	410658	
SAMN54531611	1_NSC47_20_25	1_NSC47_20_25	soil metagenome	410658	
SAMN54531612	1_NSC47_30_35	1_NSC47_30_35	soil metagenome	410658	
SAMN54531613	1_NSC47_35_40	1_NSC47_35_40	soil metagenome	410658	
SAMN54531614	1_NSC48_25_30	1_NSC48_25_30	soil metagenome	410658	
SAMN54531615	1_NSC48_30_35	1_NSC48_30_35	soil metagenome	410658	
SAMN54531616	1_NSC48_40_45	1_NSC48_40_45	soil metagenome	410658	
SAMN54531617	1_NSC49_0_5	1_NSC49_0_5	soil metagenome	410658	
SAMN54531618	1_NSC49_20_25	1_NSC49_20_25	soil metagenome	410658	
SAMN54531619	1_NSC49_40_45	1_NSC49_40_45	soil metagenome	410658	
SAMN54531620	1_NSC50_5_10	1_NSC50_5_10	soil metagenome	410658	
SAMN54531621	1_NSC50_25_30	1_NSC50_25_30	soil metagenome	410658	
SAMN54531622	1_NSC50_40_45	1_NSC50_40_45	soil metagenome	410658	
SAMN54531623	1_NSC51_0_5	1_NSC51_0_5	soil metagenome	410658	
SAMN54531624	1_NSC51_25_30	1_NSC51_25_30	soil metagenome	410658	
SAMN54531625	1_NSC51_30_35	1_NSC51_30_35	soil metagenome	410658	
SAMN54531626	1_NSC51_35_40	1_NSC51_35_40	soil metagenome	410658	
SAMN54531627	1_NSC52_5_10	1_NSC52_5_10	soil metagenome	410658	
SAMN54531628	1_NSC52_15_20	1_NSC52_15_20	soil metagenome	410658	
SAMN54531629	1_NSC52_20_25	1_NSC52_20_25	soil metagenome	410658	
SAMN54531630	1_NSC52_40_45	1_NSC52_40_45	soil metagenome	410658	
SAMN54531631	1_NSC53_5_10	1_NSC53_5_10	soil metagenome	410658	
SAMN54531632	1_NSC53_20_25	1_NSC53_20_25	soil metagenome	410658	
SAMN54531633	1_NSC53_45_50	1_NSC53_45_50	soil metagenome	410658	
SAMN54531634	1_NSC54_25_30	1_NSC54_25_30	soil metagenome	410658	
SAMN54531635	1_NSC54_30_35	1_NSC54_30_35	soil metagenome	410658	
SAMN54531636	1_NSC54_40_45	1_NSC54_40_45	soil metagenome	410658	
SAMN54531637	1_NSC55_5_10	1_NSC55_5_10	soil metagenome	410658	
SAMN54531638	1_NSC55_25_30	1_NSC55_25_30	soil metagenome	410658	
SAMN54531639	1_NSC55_35_40	1_NSC55_35_40	soil metagenome	410658	
SAMN54531640	1_NSC56_25_30	1_NSC56_25_30	soil metagenome	410658	
SAMN54531641	1_NSC56_30_35	1_NSC56_30_35	soil metagenome	410658	
SAMN54531642	1_NSC56_40_45	1_NSC56_40_45	soil metagenome	410658	
SAMN54531643	1_NSC56_45_50	1_NSC56_45_50	soil metagenome	410658	
SAMN54531644	1_NSC57_30_35	1_NSC57_30_35	soil metagenome	410658	
SAMN54531645	1_NSC57_40_45	1_NSC57_40_45	soil metagenome	410658	
SAMN54531646	1_NSC57_45_50	1_NSC57_45_50	soil metagenome	410658	
SAMN54531647	1_NSC58_10_15	1_NSC58_10_15	soil metagenome	410658	
SAMN54531648	1_NSC58_20_25	1_NSC58_20_25	soil metagenome	410658	
SAMN54531649	1_NSC58_25_30	1_NSC58_25_30	soil metagenome	410658	
SAMN54531650	1_NSC59_5_10	1_NSC59_5_10	soil metagenome	410658	
SAMN54531651	1_NSC59_10_15	1_NSC59_10_15	soil metagenome	410658	
SAMN54531652	1_NSC59_20_25	1_NSC59_20_25	soil metagenome	410658	
SAMN54531653	1_NSC59_25_30	1_NSC59_25_30	soil metagenome	410658	
SAMN54531654	1_NSC59_40_45	1_NSC59_40_45	soil metagenome	410658	
SAMN54531655	1_NSC60_15_20	1_NSC60_15_20	soil metagenome	410658	
SAMN54531656	1_NSC60_0_5	1_NSC60_0_5	soil metagenome	410658	
SAMN54531657	1_NSC60_20_25	1_NSC60_20_25	soil metagenome	410658	
SAMN54531658	2_NSC01_5_10	2_NSC01_5_10	soil metagenome	410658	
SAMN54531659	2_NSC03_0_5	2_NSC03_0_5	soil metagenome	410658	
SAMN54531660	2_NSC03_5_10	2_NSC03_5_10	soil metagenome	410658	
SAMN54531661	2_NSC04_10_15	2_NSC04_10_15	soil metagenome	410658	
SAMN54531662	2_NSC04_5_10	2_NSC04_5_10	soil metagenome	410658	
SAMN54531663	2_NSC06_0_5	2_NSC06_0_5	soil metagenome	410658	
SAMN54531664	2_NSC07_10_15	2_NSC07_10_15	soil metagenome	410658	
SAMN54531665	2_NSC07_15_20	2_NSC07_15_20	soil metagenome	410658	
SAMN54531666	2_NSC08_0_5	2_NSC08_0_5	soil metagenome	410658	
SAMN54531667	2_NSC08_15_20	2_NSC08_15_20	soil metagenome	410658	
SAMN54531668	2_NSC09_5_10	2_NSC09_5_10	soil metagenome	410658	
SAMN54531669	2_NSC10_1_15	2_NSC10_1_15	soil metagenome	410658	
SAMN54531670	2_NSC15_10_15	2_NSC15_10_15	soil metagenome	410658	
SAMN54531671	2_NSC16_0_5	2_NSC16_0_5	soil metagenome	410658	
SAMN54531672	2_NSC17_0_5	2_NSC17_0_5	soil metagenome	410658	
SAMN54531673	2_NSC17_10_15	2_NSC17_10_15	soil metagenome	410658	
SAMN54531674	2_NSC17_5_10	2_NSC17_5_10	soil metagenome	410658	
SAMN54531675	2_NSC18_15_20	2_NSC18_15_20	soil metagenome	410658	
SAMN54531676	2_NSC20_15_20	2_NSC20_15_20	soil metagenome	410658	
SAMN54531677	2_NSC21_10_15	2_NSC21_10_15	soil metagenome	410658	
SAMN54531678	2_NSC21_15_20	2_NSC21_15_20	soil metagenome	410658	
SAMN54531679	2_NSC21_5_10	2_NSC21_5_10	soil metagenome	410658	
SAMN54531680	2_NSC22_0_5	2_NSC22_0_5	soil metagenome	410658	
SAMN54531681	2_NSC23_5_10	2_NSC23_5_10	soil metagenome	410658	
SAMN54531682	2_NSC24_0_5	2_NSC24_0_5	soil metagenome	410658	
SAMN54531683	2_NSC24_5_10	2_NSC24_5_10	soil metagenome	410658	
SAMN54531684	2_NSC25_5_10	2_NSC25_5_10	soil metagenome	410658	
SAMN54531685	2_NSC26_5_10	2_NSC26_5_10	soil metagenome	410658	
SAMN54531686	2_NSC27_0_5	2_NSC27_0_5	soil metagenome	410658	
SAMN54531687	2_NSC28_5_10	2_NSC28_5_10	soil metagenome	410658	
SAMN54531688	2_NSC30_0_5	2_NSC30_0_5	soil metagenome	410658	
SAMN54531689	2_NSC33_0_5	2_NSC33_0_5	soil metagenome	410658	
SAMN54531690	2_NSC33_5_10	2_NSC33_5_10	soil metagenome	410658	
SAMN54531691	2_NSC35_15_20	2_NSC35_15_20	soil metagenome	410658	
SAMN54531692	2_NSC36_0_5	2_NSC36_0_5	soil metagenome	410658	
SAMN54531693	2_NSC36_10_15	2_NSC36_10_15	soil metagenome	410658	
SAMN54531694	2_NSC37_15_20	2_NSC37_15_20	soil metagenome	410658	
SAMN54531695	2_NSC38_10_15	2_NSC38_10_15	soil metagenome	410658	
SAMN54531696	2_NSC39_0_5	2_NSC39_0_5	soil metagenome	410658	
SAMN54531697	2_NSC39_15_20	2_NSC39_15_20	soil metagenome	410658	
SAMN54531698	2_NSC40_0_5	2_NSC40_0_5	soil metagenome	410658	
SAMN54531699	2_NSC40_10_15	2_NSC40_10_15	soil metagenome	410658	
SAMN54531700	2_NSC40_15_20	2_NSC40_15_20	soil metagenome	410658	
SAMN54531701	2_NSC41_0_5	2_NSC41_0_5	soil metagenome	410658	
SAMN54531702	2_NSC41_15_20	2_NSC41_15_20	soil metagenome	410658	
SAMN54531703	2_NSC43_0_5	2_NSC43_0_5	soil metagenome	410658	
SAMN54531704	2_NSC44_0_5	2_NSC44_0_5	soil metagenome	410658	
SAMN54531705	2_NSC45_10_15	2_NSC45_10_15	soil metagenome	410658	
SAMN54531706	2_NSC45_5_10	2_NSC45_5_10	soil metagenome	410658	
SAMN54531707	2_NSC46_10_15	2_NSC46_10_15	soil metagenome	410658	
SAMN54531708	2_NSC49_0_5	2_NSC49_0_5	soil metagenome	410658	
SAMN54531709	2_NSC50_5_10	2_NSC50_5_10	soil metagenome	410658	
SAMN54531710	2_NSC51_0_5	2_NSC51_0_5	soil metagenome	410658	
SAMN54531711	2_NSC52_15_20	2_NSC52_15_20	soil metagenome	410658	
SAMN54531712	2_NSC52_5_10	2_NSC52_5_10	soil metagenome	410658	
SAMN54531713	2_NSC53_5_10	2_NSC53_5_10	soil metagenome	410658	
SAMN54531714	2_NSC58_10_15	2_NSC58_10_15	soil metagenome	410658	
SAMN54531715	2_NSC59_10_15	2_NSC59_10_15	soil metagenome	410658	
SAMN54531716	2_NSC59_5_10	2_NSC59_5_10	soil metagenome	410658	
